elbow,elbow_flare,hip,shoulder_elevation,body_line,elbow_velocity,hip_velocity,time_in_phase,rep_number,elbow_drift,hip_drift,velocity_trend,rolling_elbow_5,rolling_hip_5,phase,form_quality,phase_enc
138.76,16.24,161.42,34.01,1.34,-85.76,-44.92,0.0,0,-31.22,-6.45,-25.52,138.76,161.42,mid,shoulder_dip,1
134.28,16.06,162.78,30.86,1.8,-100.97,-45.72,0.066,0,-35.7,-5.09,-34.8,134.28,162.78,mid,shoulder_dip,1
128.86,17.58,157.89,23.52,9.01,-119.29,-64.75,0.13,0,-41.12,-9.98,-46.14,128.86,157.89,mid,shoulder_dip,1
122.3,5.88,142.11,15.5,4.14,-140.76,-110.68,0.186,0,-47.68,-25.76,-59.8,122.3,142.11,mid,shoulder_dip,1
115.58,2.48,153.52,12.92,8.89,-162.93,-67.62,0.248,0,-54.4,-14.35,-75.75,115.58,153.52,mid,shoulder_dip,1
109.26,1.74,149.58,9.33,1.76,-173.84,-59.53,0.316,0,-60.72,-18.28,-92.88,109.26,149.58,mid,shoulder_dip,1
102.11,3.75,147.22,7.77,7.45,-184.06,-74.21,0.373,0,-67.87,-20.65,-110.1,102.11,147.22,mid,shoulder_dip,1
96.67,2.21,128.07,8.06,14.19,-182.34,-111.2,0.0,0,11.08,22.9,-125.84,96.67,128.07,down,shoulder_dip,0
92.17,3.4,109.18,2.72,21.19,-176.93,-157.97,0.047,0,6.59,4.01,-139.1,92.17,109.18,down,shoulder_dip,0
93.1,5.89,93.89,13.06,44.38,-152.2,-225.11,0.095,0,7.51,-11.28,-147.91,93.1,93.89,down,shoulder_dip,0
92.88,4.02,95.88,9.09,27.02,-137.98,-223.01,0.135,0,7.29,-9.29,-153.13,92.88,95.88,down,shoulder_dip,0
101.04,5.12,95.33,11.97,37.79,-92.75,-208.54,0.178,0,15.45,-9.84,-152.31,101.04,95.33,down,shoulder_dip,0
105.03,1.44,98.42,10.87,31.92,-57.57,-145.64,0.224,0,19.44,-6.75,-146.14,105.03,98.42,down,shoulder_dip,0
109.72,14.7,108.5,13.08,34.87,-19.56,-150.09,0.273,0,24.13,3.33,-134.02,109.72,108.5,down,shoulder_dip,0
111.51,23.57,115.98,15.6,33.0,7.48,-112.02,0.0,0,-58.48,-51.89,-116.98,111.51,115.98,mid,shoulder_dip,1
116.85,31.97,126.44,17.79,33.08,49.1,-69.29,0.044,0,-53.14,-41.43,-94.68,116.85,126.44,mid,shoulder_dip,1
116.04,32.91,131.94,19.26,31.59,64.56,12.92,0.081,0,-53.94,-35.92,-69.82,116.04,131.94,mid,shoulder_dip,1
120.91,30.78,135.73,23.55,26.74,95.8,88.51,0.135,0,-49.07,-32.14,-42.01,120.91,135.73,mid,shoulder_dip,1
128.35,29.48,138.93,28.17,25.55,117.48,150.14,0.173,0,-41.63,-28.94,-12.56,128.35,138.93,mid,shoulder_dip,1
134.86,31.16,138.73,30.36,18.92,139.93,142.85,0.222,0,-35.12,-29.14,16.65,134.86,138.73,mid,shoulder_dip,1
141.7,35.9,141.77,33.83,18.05,135.53,154.81,0.266,0,-28.28,-26.1,44.0,141.7,141.77,mid,shoulder_dip,1
147.23,30.46,147.73,36.0,16.17,140.65,164.37,0.313,0,-22.76,-20.14,67.34,147.23,147.73,mid,shoulder_dip,1
153.36,17.94368794326241,155.16,44.35,12.85,145.48,155.54,0.358,0,-16.62,-12.71,87.65,153.36,155.16,mid,shoulder_dip,1
158.36,17.94368794326241,163.85,46.33,7.73,156.19,159.55,0.406,0,-11.62,-4.02,105.22,158.36,163.85,mid,shoulder_dip,1
137.73,26.0,139.81,27.53,8.65,-92.8,-96.94,0.0,1,-32.25,-28.05,-31.7,98.66,104.18,mid,shoulder_dip,1
132.7,17.34,134.15,26.31,1.39,-110.84,-111.34,0.032,1,-37.28,-33.72,-41.88,98.66,104.18,mid,shoulder_dip,1
126.47,0.97,120.5,26.05,6.79,-131.56,-156.84,0.063,1,-43.51,-47.37,-54.22,98.66,104.18,mid,shoulder_dip,1
125.18,13.47,121.17,23.96,7.11,-133.78,-151.89,0.093,1,-44.8,-46.7,-66.8,98.66,104.18,mid,shoulder_dip,1
118.84,10.41,114.34,17.75,3.48,-153.13,-169.35,0.128,1,-51.14,-53.53,-81.17,98.66,104.18,mid,shoulder_dip,1
118.14,18.02,94.86,23.45,35.27,-143.44,-199.25,0.185,1,-51.84,-73.01,-94.46,98.66,104.18,mid,shoulder_dip,1
120.44,21.46,93.98,24.01,50.0,-119.37,-210.22,0.233,1,-49.54,-73.89,-104.26,98.66,104.18,mid,shoulder_dip,1
125.97,19.64,89.45,19.66,50.0,-80.83,-206.26,0.275,1,-44.01,-78.42,-108.88,98.66,104.18,mid,shoulder_dip,1
125.68,19.18,80.71,17.92,50.0,-62.07,-205.84,0.322,1,-44.3,-87.16,-109.87,98.66,104.18,mid,shoulder_dip,1
119.93,3.11,72.24,13.07,50.0,-59.33,-225.26,0.378,1,-50.05,-95.63,-108.72,98.66,104.18,mid,shoulder_dip,1
109.36,1.85,77.2,16.64,50.0,-77.79,-189.82,0.439,1,-60.62,-90.66,-107.22,98.66,104.18,mid,shoulder_dip,1
98.11,0.01,94.06,8.45,41.98,-94.54,-88.13,0.47,1,-71.87,-73.81,-105.58,98.66,104.18,mid,shoulder_dip,1
87.63,0.81,97.93,4.58,15.86,-125.18,-77.48,0.0,1,2.04,-7.24,-104.95,98.66,104.18,down,shoulder_dip,0
81.64,10.33,90.41,0.05,20.67,-124.01,-79.75,0.055,1,-3.95,-14.75,-103.97,98.66,104.18,down,shoulder_dip,0
91.45,5.35,94.66,8.71,44.09,-88.95,-0.66,0.122,1,5.87,-10.51,-97.55,98.66,104.18,down,shoulder_dip,0
99.79,3.1,84.15,9.77,50.0,-68.82,-32.77,0.177,1,14.21,-21.02,-90.09,98.66,104.18,down,shoulder_dip,0
102.93,2.26,90.24,11.1,47.24,-76.79,2.64,0.233,1,17.34,-14.93,-85.83,98.66,104.18,down,shoulder_dip,0
107.4,25.03,89.96,16.95,50.0,-60.93,30.84,0.28,1,21.81,-15.21,-83.84,98.66,104.18,down,shoulder_dip,0
111.48,35.5,88.35,16.89,50.0,-28.17,53.73,0.329,1,25.89,-16.81,-80.45,98.66,104.18,down,shoulder_dip,0
112.01,38.65,97.52,19.76,50.0,8.82,67.72,0.0,1,-57.98,-70.35,-73.64,98.66,104.18,mid,shoulder_dip,1
114.76,42.98,102.44,22.25,48.51,55.52,27.94,0.047,1,-55.22,-65.43,-60.3,98.66,104.18,mid,shoulder_dip,1
122.49,46.84,102.16,23.86,50.0,116.21,14.11,0.103,1,-47.49,-65.71,-39.23,98.66,104.18,mid,shoulder_dip,1
128.79,50.93,105.39,24.33,47.63,157.18,49.91,0.15,1,-41.19,-62.48,-10.99,98.66,104.18,mid,shoulder_dip,1
133.96,52.2,109.1,26.17,49.65,141.68,48.14,0.185,1,-36.02,-58.77,15.58,98.66,104.18,mid,shoulder_dip,1
